year,state,main_species_group,species_name,live_weight,landed_weight
2000,CAMPECHE,CAZON,CAZON DESV. FCO.,242518.1000000002,220471
2000,CAMPECHE,CAZON,CAZON ENT. FCO.,209943,209943
2000,CAMPECHE,CAZON,CAZON FILETE DE FCO.,58,29
2000,CAMPECHE,TIBURON,ALETA DE TIBURON,0,15
2000,CAMPECHE,TIBURON,CORNUDA DESV. FCA. (SPHYRNA ZYGAENA),71.5,65
2000,CAMPECHE,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),3135,3135
2000,CAMPECHE,TIBURON,GATA DESV. FCA.,5624.300000000001,5113
2000,CAMPECHE,TIBURON,GATA ENT. FCA.,1449,1449
2000,CAMPECHE,TIBURON,JAQUETON ENT. FCO.,14898,14898
2000,CAMPECHE,TIBURON,TIBURON DESV. FCO.,31709.699999999997,28827
2000,CAMPECHE,TIBURON,TIBURON ENT. FCO.,127181,127181
2000,TABASCO,CAZON,CAZON ENT. FCO.,219035,219035
2000,TABASCO,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),6640,6640
2000,TABASCO,TIBURON,GATA ENT. FCA.,2814,2814
2000,TABASCO,TIBURON,TIBURON CHATO ENT. FCO.,4889,4889
2000,TABASCO,TIBURON,TIBURON ENT. FCO.,125134,125134
2000,TABASCO,TIBURON,TINTORERA ENT. FCA.,706,706
2000,TAMAULIPAS,CAZON,CAZON DESV. FCO.,37906,34460
2000,TAMAULIPAS,CAZON,CAZON ENT. FCO.,710541,710541
2000,TAMAULIPAS,TIBURON,ANGELITO ENT. FCO. (SQUATINA SQUATINA),623,623
2000,TAMAULIPAS,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),504,504
2000,TAMAULIPAS,TIBURON,GATA ENT. FCA.,264,264
2000,TAMAULIPAS,TIBURON,GRILLO ENT. FCO. (ALOPIAS VULPINUS),70,70
2000,TAMAULIPAS,TIBURON,TIBURON DESV. FCO.,12647.799999999997,11498
2000,TAMAULIPAS,TIBURON,TIBURON ENT. FCO.,697695,697695
2000,TAMAULIPAS,TIBURON,TINTORERA ENT. FCA.,244,244
2000,TAMAULIPAS,TIBURON,TRIPA DESV. FCA.,1106.6000000000001,1006
2000,TAMAULIPAS,TIBURON,TRIPA ENT. FCA.,16139,16139
2000,VERACRUZ,CAZON,CAZON DE LEY DESV. FCO.,1757.8000000000002,1598
2000,VERACRUZ,CAZON,CAZON DE LEY ENT. FCO.,3116,3116
2000,VERACRUZ,CAZON,CAZON DESV. FCO.,9481.999999999998,8620
2000,VERACRUZ,CAZON,CAZON ENT. FCO.,330388,330388
2000,VERACRUZ,TIBURON,ANGELITO ENT. FCO. (SQUATINA SQUATINA),132282,132282
2000,VERACRUZ,TIBURON,CORNUDA DESV. FCA. (SPHYRNA ZYGAENA),1531.2,1392
2000,VERACRUZ,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),6909,6909
2000,VERACRUZ,TIBURON,GATA ENT. FCA.,13800,13800
2000,VERACRUZ,TIBURON,TIBURON DESV. FCO.,894.3,813
2000,VERACRUZ,TIBURON,TIBURON DESV. Y DESC. FCO.,46216.5,30811
2000,VERACRUZ,TIBURON,TIBURON ENT. FCO.,417273,417273
2000,VERACRUZ,TIBURON,TIBURON ZORRO ENT. FCO. (ALOPIAS VULPINUS),134520,134520
2000,VERACRUZ,TIBURON,TINTORERA DESC. FCA.,99,90
2000,VERACRUZ,TIBURON,TINTORERA ENT. FCA.,275,275
2000,VERACRUZ,TIBURON,TRIPA DESV. FCA.,463.1,421
2000,VERACRUZ,TIBURON,TRIPA ENT. FCA.,147117,147117
2000,YUCATAN,CAZON,CAZON DESV. FCO.,351379.60000000056,319436
2000,YUCATAN,CAZON,CAZON ENT. FCO.,5376,5376
2000,YUCATAN,TIBURON,CORNUDA DESV. FCA. (SPHYRNA ZYGAENA),55,50
2000,YUCATAN,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),2295,2295
2000,YUCATAN,TIBURON,GATA DESV. FCA.,4908.200000000001,4462
2000,YUCATAN,TIBURON,GATA DESV. Y DESC. FCA.,18090,12060
2000,YUCATAN,TIBURON,GATA ENT. FCA.,341,341
2000,YUCATAN,TIBURON,JAQUETON ENT. FCO.,87,87
2000,YUCATAN,TIBURON,TIBURON DESV. FCO.,391387.7,355807
2000,YUCATAN,TIBURON,TIBURON ENT. FCO.,421770,421770
2000,YUCATAN,TIBURON,TINTORERA DESV. Y DESC. FCA.,61.5,41
2000,YUCATAN,TIBURON,TINTORERA ENT. FCA.,14295,14295
2001,CAMPECHE,CAZON,CAZON DESV. FCO.,262147.59999999986,238316
2001,CAMPECHE,CAZON,CAZON DESV. Y DESC. FCO.,1000,800
2001,CAMPECHE,CAZON,CAZON ENT. FCO.,248819,248819
2001,CAMPECHE,TIBURON,ALETA DE TIBURON,0,528
2001,CAMPECHE,TIBURON,CORNUDA DESV. FCA. (SPHYRNA ZYGAENA),212.3,193
2001,CAMPECHE,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),5021,5021
2001,CAMPECHE,TIBURON,GATA DESV. FCA.,4046.9000000000005,3679
2001,CAMPECHE,TIBURON,GATA DESV. Y DESC. FCA.,357,238
2001,CAMPECHE,TIBURON,GATA ENT. FCA.,3773,3773
2001,CAMPECHE,TIBURON,JAQUETON ENT. FCO.,62123,62123
2001,CAMPECHE,TIBURON,PEZ MARTILLO ENT. FCO. (SPHYRNA LEWINI),423,423
2001,CAMPECHE,TIBURON,TIBURON DESV. FCO.,24302.3,22093
2001,CAMPECHE,TIBURON,TIBURON ENT. FCO.,90560,90560
2001,CAMPECHE,TIBURON,TINTORERA ENT. FCA.,142,142
2001,TABASCO,CAZON,CAZON ENT. FCO.,220878,220878
2001,TABASCO,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),4897,4897
2001,TABASCO,TIBURON,GATA ENT. FCA.,1204,1204
2001,TABASCO,TIBURON,TIBURON CHATO ENT. FCO.,4933,4933
2001,TABASCO,TIBURON,TIBURON ENT. FCO.,91066,91066
2001,TABASCO,TIBURON,TIBURON ZORRO ENT. FCO. (ALOPIAS VULPINUS),108,108
2001,TABASCO,TIBURON,TINTORERA ENT. FCA.,3642,3642
2001,TABASCO,TIBURON,TRIPA ENT. FCA.,109,109
